dataset,pipeline,subject,session,n_sessions,samples,samples_test,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode
BNCI2014-001,BDCNN,1,0train,2,2304.0,144.0,87.70716282499961,0.0011220702531839987,1.27933694718577e-05,3.1491367720579806,196.2831049383135,70.0,0.006751862387874468,0.0047822674369219775,0.0017054789583222374,0.013239608783118683,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,1,1test,2,2304.0,144.0,87.70716282499961,0.0011220702531839987,1.27933694718577e-05,3.1491367720579806,196.2831049383135,70.0,0.006751862387874468,0.0047822674369219775,0.0017054789583222374,0.013239608783118683,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,2,0train,2,2304.0,144.0,86.29018718599946,0.0011051872065197805,1.2807798914637926e-05,3.128205848920734,201.92471159429974,70.0,0.006522941807238159,0.004839713593989964,0.0016777457723250186,0.01304040117355314,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,2,1test,2,2304.0,144.0,86.29018718599946,0.0011051872065197805,1.2807798914637926e-05,3.128205848920734,201.92471159429974,70.0,0.006522941807238159,0.004839713593989964,0.0016777457723250186,0.01304040117355314,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,3,0train,2,2304.0,144.0,95.00194859899966,0.0012294584647809842,1.2941404344010731e-05,2.8783653665276705,206.27308598887828,70.0,0.007216030763653319,0.005443429910296033,0.0018472505079972154,0.014506711181946567,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,3,1test,2,2304.0,144.0,95.00194859899966,0.0012294584647809842,1.2941404344010731e-05,2.8783653665276705,206.27308598887828,70.0,0.007216030763653319,0.005443429910296033,0.0018472505079972154,0.014506711181946567,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,4,0train,2,2304.0,144.0,90.56392890000097,0.0012102221477518307,1.3363182150287636e-05,2.9892805147724486,225.6135204683239,70.0,0.006843153188129288,0.005675640651619962,0.0017609428625055597,0.01427973670225481,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,4,1test,2,2304.0,144.0,90.56392890000097,0.0012102221477518307,1.3363182150287636e-05,2.9892805147724486,225.6135204683239,70.0,0.006843153188129288,0.005675640651619962,0.0017609428625055597,0.01427973670225481,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,5,0train,2,2304.0,144.0,83.72225172400067,0.0010809442044202842,1.2911075665656023e-05,3.2508949028586334,205.33502147328048,70.0,0.006350890108208038,0.004775480209270017,0.001627981152311107,0.012754351469789161,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,5,1test,2,2304.0,144.0,83.72225172400067,0.0010809442044202842,1.2911075665656023e-05,3.2508949028586334,205.33502147328048,70.0,0.006350890108208038,0.004775480209270017,0.001627981152311107,0.012754351469789161,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,6,0train,2,2304.0,144.0,85.962399086,0.0011187736206112358,1.3014689506990113e-05,3.1450932141724954,212.34828016356167,70.0,0.0064586248360623995,0.005070592389803952,0.001671493702647225,0.013200710928513576,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,6,1test,2,2304.0,144.0,85.962399086,0.0011187736206112358,1.3014689506990113e-05,3.1450932141724954,212.34828016356167,70.0,0.0064586248360623995,0.005070592389803952,0.001671493702647225,0.013200710928513576,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,7,0train,2,2304.0,144.0,91.110558553999,0.0012089150742120326,1.3268662175688067e-05,2.895151482963041,227.24447165664483,70.0,0.006741235846317698,0.005751430434474014,0.0017716479091305702,0.014264314189922283,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,7,1test,2,2304.0,144.0,91.110558553999,0.0012089150742120326,1.3268662175688067e-05,2.895151482963041,227.24447165664483,70.0,0.006741235846317698,0.005751430434474014,0.0017716479091305702,0.014264314189922283,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,8,0train,2,2304.0,144.0,94.63572924999971,0.0012448393775744515,1.3154012478088197e-05,2.8346601401795755,219.48900628849594,70.0,0.007078649023748013,0.005769524615615973,0.0018400210704944283,0.014688194709858415,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,8,1test,2,2304.0,144.0,94.63572924999971,0.0012448393775744515,1.3154012478088197e-05,2.8346601401795755,219.48900628849594,70.0,0.007078649023748013,0.005769524615615973,0.0018400210704944283,0.014688194709858415,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,9,0train,2,2304.0,144.0,94.08352403699973,0.0012318415168669193,1.3093061989118896e-05,2.8844252882341648,212.1269649917811,70.0,0.007161474025563521,0.00554392137957796,0.00182943404946943,0.01453482945461091,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BDCNN,9,1test,2,2304.0,144.0,94.08352403699973,0.0012318415168669193,1.3093061989118896e-05,2.8844252882341648,212.1269649917811,70.0,0.007161474025563521,0.00554392137957796,0.00182943404946943,0.01453482945461091,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,1,0train,2,2304.0,144.0,114.05412528099987,0.0016705304341195822,1.4646823867441506e-05,2.1991935767949187,299.24006319390685,70.0,0.008012666714294913,0.009480620640045984,0.0022177506535527858,0.019711038007893682,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,1,1test,2,2304.0,144.0,114.05412528099987,0.0016705304341195822,1.4646823867441506e-05,2.1991935767949187,299.24006319390685,70.0,0.008012666714294913,0.009480620640045984,0.0022177506535527858,0.019711038007893682,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,2,0train,2,2304.0,144.0,108.79888560899963,0.001591715962087701,1.462989438509259e-05,2.3237037810492662,298.17109662141877,70.0,0.0076545177272204,0.009011092486646027,0.0021154746353999904,0.018781084849266418,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,2,1test,2,2304.0,144.0,108.79888560899963,0.001591715962087701,1.462989438509259e-05,2.3237037810492662,298.17109662141877,70.0,0.0076545177272204,0.009011092486646027,0.0021154746353999904,0.018781084849266418,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,3,0train,2,2304.0,144.0,127.50981559899992,0.0018988296042143835,1.4891631999157535e-05,1.9480459540919357,313.1975943157631,70.0,0.008831951076388529,0.011093460263649962,0.002479389994161097,0.022404801334199587,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,3,1test,2,2304.0,144.0,127.50981559899992,0.0018988296042143835,1.4891631999157535e-05,1.9480459540919357,313.1975943157631,70.0,0.008831951076388529,0.011093460263649962,0.002479389994161097,0.022404801334199587,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,4,0train,2,2304.0,144.0,110.42675876700014,0.0016241085086847495,1.470756553775705e-05,2.3031280923565425,299.0988288572826,70.0,0.007841643709698837,0.009174494839590014,0.0021471546717055493,0.0191632932209944,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,4,1test,2,2304.0,144.0,110.42675876700014,0.0016241085086847495,1.470756553775705e-05,2.3031280923565425,299.0988288572826,70.0,0.007841643709698837,0.009174494839590014,0.0021471546717055493,0.0191632932209944,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,5,0train,2,2304.0,144.0,109.75834664499962,0.0015970396380119954,1.4550510639738503e-05,2.2839384237431957,296.84265592030516,70.0,0.007659590875723342,0.009050155573452012,0.0021341538845277633,0.018843900333703117,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,5,1test,2,2304.0,144.0,109.75834664499962,0.0015970396380119954,1.4550510639738503e-05,2.2839384237431957,296.84265592030516,70.0,0.007659590875723342,0.009050155573452012,0.0021341538845277633,0.018843900333703117,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,6,0train,2,2304.0,144.0,109.94454624299942,0.0016136394706806273,1.467685104008047e-05,2.303498713787228,300.0400205504896,70.0,0.007738514144417466,0.009163417608505975,0.002137834472219437,0.019039766225142876,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,6,1test,2,2304.0,144.0,109.94454624299942,0.0016136394706806273,1.467685104008047e-05,2.303498713787228,300.0400205504896,70.0,0.007738514144417466,0.009163417608505975,0.002137834472219437,0.019039766225142876,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,7,0train,2,2304.0,144.0,114.5477446440018,0.0016766223412908155,1.4636887901168827e-05,2.226315526395766,295.7105035434133,70.0,0.008146439129646094,0.009409169749552027,0.002227309180288886,0.01978291805948701,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,7,1test,2,2304.0,144.0,114.5477446440018,0.0016766223412908155,1.4636887901168827e-05,2.226315526395766,295.7105035434133,70.0,0.008146439129646094,0.009409169749552027,0.002227309180288886,0.01978291805948701,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,8,0train,2,2304.0,144.0,107.95527230100015,0.0015901955409571421,1.4730134773748546e-05,2.3265657351999893,304.44047908836,70.0,0.007534792867273911,0.009129269803410028,0.0020990823206305676,0.018763144991314505,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,8,1test,2,2304.0,144.0,107.95527230100015,0.0015901955409571421,1.4730134773748546e-05,2.3265657351999893,304.44047908836,70.0,0.007534792867273911,0.009129269803410028,0.0020990823206305676,0.018763144991314505,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
BNCI2014-001,BSCNN,9,0train,2,2304.0,144.0,111.0195863780009,0.001624050699688302,1.462850566392738e-05,2.273120912194381,299.0582011399634,70.0,0.007781192580226855,0.009222690989258014,0.0021587275476083407,0.01916261111709321,United States,USA,washington,Linux-4.18.0-553.47.1.el8_10.x86_64-x86_64-with-glibc2.28,3.12.12,3.2.2,72,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,4,4 x NVIDIA RTX A5000,1007.0210990905762,machine
