dataset,pipeline,timestamp,ess_bulk_min,ess_tail_min,r_hat_max,mcse_mean_max,mcse_sd_max,divergences
BNCI2014_001,CSPBLDA,20260522-124307,1378.0,2328.0,1.0,0.002,0.001,0
BNCI2014_001,CSPBLDA,20260522-132230,1095.0,914.0,1.0,0.002,0.002,0
BNCI2014_001,CSPBLDA,20260522-125721,1401.0,1884.0,1.0,0.002,0.001,0
BNCI2014_001,CSPBLDA,20260522-125216,959.0,1496.0,1.01,0.003,0.002,0
BNCI2014_001,CSPBLDA,20260522-131207,1041.0,1771.0,1.0,0.003,0.002,0
BNCI2014_001,CSPBLDA,20260522-124738,1605.0,2243.0,1.0,0.002,0.001,0
BNCI2014_001,CSPBLDA,20260522-130703,1377.0,1783.0,1.0,0.003,0.002,0
BNCI2014_001,CSPBLDA,20260522-131724,1128.0,1114.0,1.0,0.002,0.002,0
BNCI2014_001,CSPBLDA,20260522-130210,1532.0,1906.0,1.0,0.002,0.001,0
BNCI2014_001,CSPGP,20260522-140939,922.0,1395.0,1.0,0.014,0.015,0
BNCI2014_001,CSPGP,20260522-133248,1313.0,2044.0,1.0,0.011,0.019,0
BNCI2014_001,CSPGP,20260522-135617,1011.0,1505.0,1.01,0.012,0.013,0
BNCI2014_001,CSPGP,20260522-133804,904.0,1632.0,1.01,0.015,0.017,0
BNCI2014_001,CSPGP,20260522-134217,1468.0,2414.0,1.0,0.011,0.015,0
BNCI2014_001,CSPGP,20260522-140023,959.0,1810.0,1.0,0.012,0.016,0
BNCI2014_001,CSPGP,20260522-135129,1665.0,2245.0,1.0,0.011,0.015,0
BNCI2014_001,CSPGP,20260522-134706,712.0,1470.0,1.01,0.017,0.013,0
BNCI2014_001,CSPGP,20260522-140511,744.0,1449.0,1.0,0.015,0.013,0
BNCI2014_001,TSBLR,20260522-142951,3941.0,2282.0,1.0,0.001,0.001,0
BNCI2014_001,TSBLR,20260522-142830,3268.0,2499.0,1.0,0.001,0.001,0
BNCI2014_001,TSBLR,20260522-142027,4438.0,2190.0,1.0,0.001,0.001,0
BNCI2014_001,TSBLR,20260522-142547,3695.0,2258.0,1.0,0.001,0.001,0
BNCI2014_001,TSBLR,20260522-142708,3738.0,2252.0,1.01,0.001,0.001,0
BNCI2014_001,TSBLR,20260522-142310,3494.0,2487.0,1.0,0.001,0.001,0
BNCI2014_001,TSBLR,20260522-142148,3906.0,2317.0,1.0,0.001,0.001,0
BNCI2014_001,TSBLR,20260522-142432,3832.0,2599.0,1.0,0.001,0.001,0
BNCI2014_001,TSBLR,20260522-141911,3424.0,2475.0,1.01,0.001,0.001,0
BNCI2014_001,TSGP,20260522-145323,1337.0,1995.0,1.01,0.011,0.02,0
BNCI2014_001,TSGP,20260522-143739,1447.0,2252.0,1.0,0.01,0.017,0
BNCI2014_001,TSGP,20260522-144016,1425.0,2194.0,1.0,0.01,0.019,0
BNCI2014_001,TSGP,20260522-145602,1414.0,2084.0,1.0,0.01,0.018,0
BNCI2014_001,TSGP,20260522-145839,1387.0,2318.0,1.0,0.011,0.018,0
BNCI2014_001,TSGP,20260522-144254,1320.0,2243.0,1.0,0.01,0.022,0
BNCI2014_001,TSGP,20260522-144530,1500.0,2102.0,1.0,0.01,0.019,0
BNCI2014_001,TSGP,20260522-144809,1093.0,2087.0,1.01,0.011,0.02,0
BNCI2014_001,TSGP,20260522-145045,1381.0,2013.0,1.0,0.01,0.016,0
BNCI2014_001,BSCNN,20260522-153250,4249.0,2179.0,1.01,0.001,0.001,0
BNCI2014_001,BSCNN,20260522-151848,4433.0,2247.0,1.01,0.001,0.001,0
BNCI2014_001,BSCNN,20260522-151030,4208.0,2323.0,1.01,0.001,0.001,0
BNCI2014_001,BSCNN,20260522-152418,4597.0,2254.0,1.01,0.001,0.001,0
BNCI2014_001,BSCNN,20260522-152133,5181.0,2300.0,1.01,0.001,0.001,0
BNCI2014_001,BSCNN,20260522-152703,6069.0,1984.0,1.01,0.001,0.001,0
BNCI2014_001,BSCNN,20260522-151315,4535.0,1956.0,1.01,0.001,0.001,0
BNCI2014_001,BSCNN,20260522-151559,3778.0,2121.0,1.01,0.001,0.001,0
BNCI2014_001,BSCNN,20260522-153006,4986.0,2301.0,1.01,0.001,0.001,0
BNCI2014_001,BDCNN,20260522-160159,3985.0,2319.0,1.01,0.002,0.002,0
BNCI2014_001,BDCNN,20260522-154908,8002.0,2037.0,1.01,0.001,0.002,0
BNCI2014_001,BDCNN,20260522-155535,3340.0,2481.0,1.0,0.001,0.001,0
BNCI2014_001,BDCNN,20260522-155945,5310.0,2249.0,1.0,0.001,0.002,0
BNCI2014_001,BDCNN,20260522-155737,7996.0,2206.0,1.01,0.001,0.002,0
BNCI2014_001,BDCNN,20260522-155331,4544.0,1790.0,1.0,0.001,0.002,0
BNCI2014_001,BDCNN,20260522-155121,8673.0,1948.0,1.01,0.001,0.002,0
BNCI2014_001,BDCNN,20260522-154656,7121.0,2099.0,1.01,0.001,0.002,0
BNCI2014_001,BDCNN,20260522-160403,4616.0,2424.0,1.0,0.002,0.002,0
BNCI2014_004,CSPBLDA,20260522-165446,3414.0,2540.0,1.0,0.0,0.0,0
BNCI2014_004,CSPBLDA,20260522-163845,3581.0,2607.0,1.0,0.0,0.0,0
BNCI2014_004,CSPBLDA,20260522-164924,3717.0,2340.0,1.0,0.0,0.0,0
BNCI2014_004,CSPBLDA,20260522-170008,3190.0,2714.0,1.0,0.0,0.0,0
BNCI2014_004,CSPBLDA,20260522-161717,3865.0,2630.0,1.0,0.0,0.0,0
BNCI2014_004,CSPBLDA,20260522-162758,3485.0,2860.0,1.0,0.0,0.0,0
BNCI2014_004,CSPBLDA,20260522-163316,3552.0,2655.0,1.0,0.0,0.0,0
BNCI2014_004,CSPBLDA,20260522-164406,3558.0,2926.0,1.0,0.0,0.0,0
BNCI2014_004,CSPBLDA,20260522-162237,3451.0,2944.0,1.0,0.0,0.0,0
BNCI2014_004,CSPGP,20260522-181440,1185.0,1986.0,1.0,0.012,0.018,0
BNCI2014_004,CSPGP,20260522-180027,1445.0,2197.0,1.0,0.012,0.018,0
BNCI2014_004,CSPGP,20260522-172408,1444.0,2161.0,1.01,0.012,0.017,0
BNCI2014_004,CSPGP,20260522-180730,1517.0,2028.0,1.01,0.011,0.022,0
BNCI2014_004,CSPGP,20260522-173111,1587.0,2360.0,1.0,0.013,0.017,0
BNCI2014_004,CSPGP,20260522-175320,1071.0,1684.0,1.0,0.013,0.017,0
BNCI2014_004,CSPGP,20260522-174547,986.0,1574.0,1.01,0.013,0.02,0
BNCI2014_004,CSPGP,20260522-171704,1453.0,2101.0,1.01,0.011,0.022,0
BNCI2014_004,CSPGP,20260522-173808,1284.0,1897.0,1.0,0.011,0.018,0
BNCI2014_004,TSBLR,20260522-184022,2826.0,2416.0,1.0,0.001,0.001,0
BNCI2014_004,TSBLR,20260522-184403,3181.0,2494.0,1.0,0.001,0.001,0
