dataset,yi_brier,vi_brier,yi_reliability,vi_reliability,yi_resolution,vi_resolution,yi_auroc,vi_auroc,yi_entropy,vi_entropy
BNCI2014-001,-0.003618277318978111,5.5363051342686455e-05,-0.008980010583831488,6.70405988605038e-05,-0.005361733264853372,5.017517929962488e-05,-0.01854977566300871,0.00037438439178090656,0.055842993795439035,0.0020768676514447987
BNCI2014-004,0.00014504848428116557,3.618844494504583e-06,0.00020955603257941566,1.821634226932475e-06,6.450754829821308e-05,3.7182859749668705e-07,0.0021300370842781504,2.2087615855132594e-06,-0.0027685540902288954,0.0002625023584506307
Brandl2020,-0.005988755364930418,2.777058208324071e-05,-0.006758605470966056,2.339752202175004e-05,-0.0007698501060356423,7.806382679297706e-07,0.0024852601090783835,1.3707806581533656e-05,0.03443718680344706,0.0010756498871180799
Chang2025,-0.011790833221152097,6.443774686323287e-05,-0.010094783449204382,4.702507140406159e-05,0.0016960497719476937,3.860448288038163e-06,0.008816550925925981,5.241513745552522e-05,0.06065602367443288,0.0026683066635768437
Cho2017,-0.0015260363927793081,2.1367059069531783e-06,-0.0012346975078797848,1.9723381301366753e-06,0.0002913388848994949,3.99184169305989e-07,0.0011800180802103617,5.064986085453077e-06,0.002851741342874766,0.00017979730712975984
Dreyer2023,0.0002957930477920599,1.973470829284817e-06,-0.000701846758202342,1.2393828492923387e-06,-0.0009976398059944958,5.657247222736443e-07,-0.003569028903630922,5.018624327184659e-06,0.004804904169395034,0.00034207300152739326
Forenzo2023,-0.003599890987308521,2.473466218772213e-05,-0.0032344398406449304,1.7160081635539056e-05,0.00036545114666368855,2.167526682001903e-06,0.002044467936734129,2.007989335946172e-05,0.008531562582601107,0.0009469577532903371
GrosseWentrup2009,-0.01875688086496169,0.00025467637384517103,-0.014983183347881719,0.00016552718093710325,0.0037736975170799165,1.5505262562389797e-05,0.006349629629629668,6.653898556927317e-05,0.1111046603575207,0.007195640571407705
GuttmannFlury2025-MI,-0.012904800194484159,0.00014921560462784165,-0.012882806356646613,0.00013689974837652807,2.1993837837531945e-05,1.0045161733135996e-05,0.00011062885802472684,0.00020789234412992336,0.053349940580127986,0.0025970394359022373
HefmiIch2025,-0.0025013548199597038,2.2878429974304684e-06,-0.005159090575603412,6.599193528265823e-06,-0.0026577357556437204,9.7653705522067e-06,-0.008631695816186577,0.0001856258286391235,0.016048768730295426,6.052950087810129e-05
Kumar2024,0.004195234374224722,8.196708552646856e-06,0.0019356436131966748,6.438436220677908e-06,-0.0022595907610280567,8.987804509458998e-07,-0.0071459215754734835,1.257867680184819e-05,-0.05931666992900427,0.0020411183136945597
Lee2019-MI,0.00016135011415141046,3.033400005513302e-06,-0.0012662915172673673,2.9090236011636522e-06,-0.0014276416314187232,2.5744532993984894e-06,-0.003493637037036997,1.2985996069865612e-05,0.008576801185153768,0.0006705741824298738
Liu2024,-0.0003382332740140455,4.875856604222894e-06,-0.0007447829825204042,8.631564822909351e-06,-0.0004065497085064037,6.3697596704088e-07,0.0030950000000000144,2.835583333333339e-05,-0.001297575457362754,0.0003247474158780016
PhysionetMotorImagery,-0.0016257722329780556,6.472714140460549e-06,-0.002173061346009928,3.408033361666061e-06,-0.0005472891130319351,2.3282806493134117e-06,-0.0034725561046408115,2.919609346163379e-05,0.030906351794617964,0.0004166664764817648
Schirrmeister2017,-0.026684265740434452,0.00023733233630342848,-0.028756190811425674,0.00024755018216008246,-0.0020719250709910868,1.7438210047032397e-06,4.594396899828176e-05,4.740225774829409e-05,0.0931266617415396,0.003683119922503719
Shin2017A,-0.011674653006922872,3.8184331688087965e-05,-0.009474221132776631,2.5269148335089086e-05,0.002200431874146242,1.979024516500219e-06,0.002963734567901277,1.9426772428936206e-05,0.09263329138680343,0.0026576220491409635
Stieger2021,0.0024684577989062865,3.619608058063833e-06,0.0001501670907863746,9.371861281866796e-07,-0.002318290708119935,5.89843375747475e-06,-0.00712169932511499,5.373917425403225e-05,-0.0059320767108060335,0.0004910886124005632
Weibo2014,-0.01896072318164087,0.0001942782657683135,-0.018568432190417702,0.0001982588162757517,0.00039229099122314637,8.123816498872665e-06,0.0036588010204082013,9.360921051097419e-05,0.0953608460798721,0.005451383171034318
Yang2025,-0.0012238464370099196,7.016569328479019e-06,4.915190742009265e-05,4.704562783275691e-06,0.001272998344430047,2.712022958575178e-06,0.004204078685201303,3.780095097155115e-05,-0.03496071229977469,0.001050793765176009
Zhou2020,-0.006003024647687219,1.9233883608614076e-05,-0.007597987083054584,2.1163664875115654e-05,-0.0015949624353673413,5.185721446782667e-06,-0.005311796553066721,3.2459347002409746e-05,0.031883538463895376,0.0007160312747175588
