dataset,pipeline,subject,session,n_trials,n_classes,auroc,entropy,brier,reliability,resolution,uncertainty
BNCI2014-001,BDCNN,1,0train,144,2,0.905189043209877,0.488840956438539,0.139343902777778,0.033805770559538,0.14446186778176,0.25
BNCI2014-001,BDCNN,1,1test,144,2,0.928240740740741,0.479409167926191,0.112004850260417,0.0153606553349717,0.153355805074555,0.25
BNCI2014-001,BDCNN,2,0train,144,2,0.671875,0.736299287897038,0.250388902777778,0.0351630902305366,0.0347741874527589,0.25
BNCI2014-001,BDCNN,2,1test,144,2,0.685763888888889,0.684236540424771,0.252325387152778,0.0444152918128508,0.0420899046600731,0.25
BNCI2014-001,BDCNN,3,0train,144,2,0.975983796296296,0.379541909184519,0.0804943680555556,0.0413658277505446,0.210871459694989,0.25
BNCI2014-001,BDCNN,3,1test,144,2,0.967303240740741,0.324693498502265,0.0909165863715278,0.0367016943962192,0.195785108024691,0.25
BNCI2014-001,BDCNN,4,0train,144,2,0.82716049382716,0.629679221276149,0.23442609765625,0.0819744155487708,0.0975483178925208,0.25
BNCI2014-001,BDCNN,4,1test,144,2,0.791570216049383,0.573593979215841,0.288800956597222,0.119962272133538,0.0811613155363155,0.25
BNCI2014-001,BDCNN,5,0train,144,2,0.552372685185185,0.673903371045812,0.334870888454861,0.0981024445743483,0.0132315561194871,0.25
BNCI2014-001,BDCNN,5,1test,144,2,0.595389660493827,0.705071712965877,0.313144138888889,0.0902092847911813,0.0270651459022924,0.25
BNCI2014-001,BDCNN,6,0train,144,2,0.851273148148148,0.28602832159394,0.242201154947917,0.101188810810573,0.108987655862656,0.25
BNCI2014-001,BDCNN,6,1test,144,2,0.771508487654321,0.38768764950317,0.266500637152778,0.0869388641120074,0.0704382269592296,0.25
BNCI2014-001,BDCNN,7,0train,144,2,0.649498456790123,0.849181432552085,0.23760907421875,0.0309044180075148,0.0432953437887648,0.25
BNCI2014-001,BDCNN,7,1test,144,2,0.702932098765432,0.757921021022625,0.232158891059028,0.0378621338946235,0.0557032428355958,0.25
BNCI2014-001,BDCNN,8,0train,144,2,0.988811728395062,0.305478510546225,0.0402108658854167,0.0141526648272156,0.223941798941799,0.25
BNCI2014-001,BDCNN,8,1test,144,2,0.99170524691358,0.251637861905186,0.0349322569444444,0.00804182484567901,0.223109567901235,0.25
